company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Tata Consultancy Services,,7-12 Yrs,,"Bachelors degree in Computer Science, Engineering, or related fieldMUST) Experience : 6...",,"Kolkata, Pune, Mumbai (All Areas)",Sailpoint Tester,,,2026-03-06 13:38:00 +0000,,"JAVA,Sailpoint,Sailpoint Testing,IAM,SELINIUM,JIRA,Software testing,Selenium",
Tata Consultancy Services,,10-20 Yrs,,Experience Range: 10 Years & Above,,"Hyderabad, Pune, Mumbai (All Areas)",Sap Project Manager,,,2026-03-06 13:38:00 +0000,,"SAP Active Project Manager,SAP Delivery Manager,SAP Project Management,SAP Implementation Project,Leadership,Project Management,SAP Activity Methodology,SAP program Manager",
Citiustech,,6-11 Yrs,,Working Hours: Starlight shift 2 PM to 11 PM IST Experience converting Teradata SQL to ...,,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Technical Lead / Technical Specialist - AWS Redshift SQL Developer,,,2026-03-06 13:38:00 +0000,,"Redshift Aws,SQL Development,ETL,Performance Tuning,SQL,Query Optimization,Amazon Redshift,Wlm",
Infosys,,3-8 Yrs,,"Job description:Hiring Java Developer with experience range 3 to 8 YearsSkills: Java, ...",,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Java Developer @Infosys-SH,,,2026-03-06 13:38:00 +0000,,"Java,Hibernate,Spring Mvc,J2Ee,Spring Boot,Microservices,Spring,Development",
Citiustech,,5-10 Yrs,,Availability: Immediate Joiners / Early Joiners Preferred. Key Skills Required: Azure D...,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Azure Devops - Lead,,,2026-03-06 13:38:00 +0000,,"Azure Pipelines,Azure Infrastructure,Terraform,Azure Devops,Kubernetes,Azure Data Factory,Jenkins,Ci Cd Pipeline",
Deloitte Consulting,,3-6 Yrs,,"In addition to living our purpose, Senior Executive across our organization must strive...",,Mumbai,T&T | EAD | Engineering | Senior Consultant,,,2026-03-06 13:38:00 +0000,,"Data migration,GCP,Analytical,MySQL,Agile,Data processing,Workflow,Stakeholder management",
Citiustech,,5-10 Yrs,,"Proficiency in shell scripting, especially Bash or Python or PowerShell . Strong experi...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Aws Devops Consultant,,,2026-03-06 13:38:00 +0000,,"Aws Cloudformation,Aws Devops,Terraform,Github,Kubernetes,Scripting,Devops,AWS",
Tata Consultancy Services,,7-12 Yrs,,"Role : XSOAR DeveloperExperience : 7-12 YearsLocation: Mumbai, Pune, Hyderabad, Bangalo...",,"Pune, Mumbai (All Areas)",SOAR Engineer,,,2026-03-06 13:38:00 +0000,,"FortiSOAR,SOAR,Log Management,SIEM,XSOAR,Management",
Persistent,,6-11 Yrs,,About Position: We are seeking Sr. Data Engineer with hands-on experience in azure data...,,"Mumbai, Pune, Bengaluru",Senior Data Engineer,,,2026-03-06 13:38:00 +0000,,"Pyspark,Azure Data Bricks,DLT,Azure Databricks,Data,Microsoft Azure,Data Engineering,Data Bricks",
Accenture,,8-13 Yrs,,"Bachelors or Masters degree in Computer Science, Engineering, Data Science, Business An...",,Mumbai,S&C Global Network - AI - Public Services- Manager,,,2026-03-06 13:38:00 +0000,,"ai,project management,c,data pipelines,stakeholder communication,business development,data engineering,sales",
Capgemini,,0-4 Yrs,,Goethe certificate- B2 / C1 certification OR BA / MA in German language (mandatory)Basi...,,Navi Mumbai,German Language Expert-Account,,,2026-03-06 13:38:00 +0000,,"ticketing,cloud,r,servicenow,itsm,generative ai,design,ai",
Accenture,,12-20 Yrs,,A 15 years full time education is requiredQualification 15 years full time educationEdu...,,Mumbai,Custom Software Engineer,,,2026-03-06 13:38:00 +0000,,"software engineer,front end,kubernetes,python,predictive analytics,ai,react,microservices",
Accenture,,5-10 Yrs,,About The Role  Job Title:Consultant Data AI Department:Public Service Data AI Growth N...,,Mumbai,S&C Global Network - AI - Public Services- Consultant,,,2026-03-06 13:38:00 +0000,,"ai,risk mitigation,sql,tensorflow,data science,spark,gcp,devops",
Accenture,,8-10 Yrs,,"About The Role  Job Title:Senior Manager Data AI  Location:Mumbai, Gurgaon, Bangalore D...",,Mumbai,S&C Global Network - AI - Public Services- Senior Manager,,,2026-03-06 13:38:00 +0000,,"ai,mlops,c,generative ai,business development,data engineering,sales,analytics",
REBEL FOODS,,1-3 Yrs,,ABOUT THE ROLE & KEY JOB RESPONSIBILITIESThe Program Manager will work like an entrepre...,,Mumbai,"project manager, ceo office",,,2026-03-06 13:38:00 +0000,,"Analytics,Customer Segmentation,Campaign Analytics,Customer Analytics,Project,Office,Segmentation,Management",
Mectech Projects,,0-2 Yrs,,Daily cleaning of workplace & organizing the pantryPreparing and serving tea/coffee & w...,,Ahmedabad(Sola),Office Boy,,,2026-03-06 13:38:00 +0000,,"Reception,Hospitality,Front Desk,Receptionist Activities,Courier,Office Coordination,Office,Desk",
Collab Accounting (au),,0-1 Yrs,,"Responsibilities:* Greet visitors, direct them to appropriate areas* Maintain front des...",,Ahmedabad(Prahlad Nagar),Front Desk Receptionist,,,2026-03-06 13:38:00 +0000,,"Reception,Front Desk,Receptionist Activities,Front Office Operations,Front office,Operations,Office Operations,Desk",
Hexa Biochem,,1-6 Yrs,,Responsibilities:Making calls Explaining company services and productsMaintaining dail...,,Ahmedabad(Shivranjani),Tele Caller_Chemical Company,,,2026-03-06 13:38:00 +0000,,"Calling,Outbound Sales,Telesales,Telecalling,Inbound Calls,Domestic BPO,Phone Banking,Domestic Calling",
Kaspr Global Outsourcing Llp,,0-2 Yrs,,Managing client portfolios operational tasks Coordinating with teamsMaintain records a...,,Ahmedabad(Prahlad Nagar),UK Finance Process,,,2026-03-06 13:38:00 +0000,,"Ability to work in team / manage multiple tasks,English,Hindi,Basic knowledge of Excel and accounting/office software,communication,Finance,Finance Process,Uk",
